,index,C,Mn,Si,Cr,Ni,Mo,V,Co,Al,W,Cu,Nb,Ti,B,N,P,S,Ms (K),Payson_Savage,Andrews_2,Capdevila,pre_1,index_clean,pre_3,predicted_3
301,336,0.16,0.6,0.25,0.2,1.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,667.458,686.3729999999999,667.239,702.5167460999478,0,702.5167460999478,689.5922868952588
302,337,0.45,0.36,0.31,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.15,594.734,594.0554999999999,593.263,571.823814526996,0,571.823814526996,550.3378698062442
303,338,0.19,0.9,0.21,1.08,1.87,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.25,616.3249999999999,663.70268,635.8990000000001,659.9434008135374,0,659.9434008135374,665.5895352893154
304,339,0.45,0.4,0.32,13.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,244.9169999999999,405.49049999999994,489.142,500.81616118151896,0,500.81616118151896,513.812893368634
305,340,1.16,0.3,0.57,1.79,0.71,0.27,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,309.31499999999994,398.70456,378.2900000000001,449.94959090579397,0,449.94959090579397,435.5001550358754
306,341,0.53,0.24,2.32,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,561.5590000000001,590.2555399999999,559.99,567.1750964000315,0,567.1750964000315,575.9375269788669
307,342,0.89,0.29,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.8527778,478.86499999999995,535.4115499999999,483.837,470.4876164285711,0,470.4876164285711,482.40944628276236
308,343,0.32,0.47,0.29,1.21,4.13,0.3,0.013,0.0,0.0,0.11,0.15,0.0,0.0,0.0,0.0,0.0,0.0,568.0,544.6759999999999,570.9854799999999,569.293,550.785009735727,0,550.785009735727,554.9667445248306
309,344,0.29,0.77,0.3,0.68,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.90833335,630.1120000000001,651.0330299999999,642.962,662.4279435630058,0,662.4279435630058,645.8144846737484
310,345,0.008,0.094,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.0,0.0,657.15,418.88620000000003,962.2261199999999,647.6528000000001,600.290568777509,0,600.290568777509,601.7232760240931
