图号,钢号,C,Si,Mn,Cr,Ni,Mo,W,V,S,P,Cu,Al,Ti,B,Co,Nb,N,Ms/°C,Ms (K)
 IV-1-571,Cr12MoV,1.55,0.45,0.27,11.34,0,0.53,0,0.24,0,0,0,0,0,0,0,0,0,230,503.15
 IV-1-572,Cr12MoV,1.35,0.3,0.5,12,0,0.8,0,0.9,0,0,0,0,0,0,0,0,0,210,483.15
 IV-1-573,Cr12MoV,1.56,0,0,12.46,0.26,0.54,0.28,0.65,0,0,0.1,0,0,0,0,0,0,185,458.15
 IV-1-574,Cr12MoWV,1.78,11.7,0,0,0.35,0.61,0.63,0.09,0,0,0,0,0,0,0,0,0,255,528.15
 IV-1-575,9MnCrWV,0.95,0.3,1.2,0.5,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,225,498.15
 IV-1-576,Mo9Cr4V2,1,0.2,0.3,4,0,8.8,0,2,0,0,0,0,0,0,0,0,0,180,453.15
 IV-1-577,W9Cr4V2,0.9,0.2,0.2,4.1,0,0.2,9.25,0,0,0,0,0,0,0,0,0,0,200,473.15
 IV-1-578,W12Cr4V2,0.87,0.27,0.32,3.99,0.11,0.8,11.91,2.52,0,0,0,0,0,0,0,0,0,210,483.15
 IV-1-579,W12Cr4V2,0.87,0.27,0.32,3.99,0.11,0.6,11.91,2.52,0,0,0,0,0,0,0,0,0,155,428.15
 IV-1-580,W12Cr4V4,1.23,0,0,4.02,0,0,12.51,3.6,0,0,0,0,0,0,0,0,0,200,473.15
 IV-1-581,W18Cr4V,0.72,0.39,0.27,4.09,0,0,18.59,1.25,0,0,0,0,0,0,0,0,0,190,463.15
 IV-1-582,W18Cr4V,0.73,0.33,0.21,4.39,0,0.18,17.8,1.09,0,0,0,0,0,0,0,0,0,220,493.15
 IV-1-583,W18Cr4V,0.81,0.15,0.33,3.77,0.12,0.44,18.25,1.07,0,0,0,0,0,0,0,0,0,160,433.15
 IV-1-584,W18Cr4V,0.81,0.15,0.33,3.77,0.12,0.44,18.25,1.07,0,0,0,0,0,0,0,0,0,140,413.15
 IV-1-585,W18Cr4V,0.81,0.23,0.17,4.23,0,0,17.6,1.08,0,0,0,0,0,0,0.05,0,0,220,493.15
 IV-1-586,W18Cr4V,0.83,0.18,0.3,4.4,0,0,18.3,1.26,0,0,0,0,0,0,0,0,0,180,453.15
 IV-1-587,W18Cr4VCo5,0.72,0.43,0.23,4.04,0,0,18.38,1.21,0,0,0,0,0,0,4.72,0,0,185,458.15
 IV-1-588,W18Cr4V2Co5,0.8,0.23,0.3,4.34,0,0.78,17.89,1.52,0,0,0,0,0,0,4.52,0,0,180,453.15
 IV-1-589,W18Cr4V2MoCo5,0.8,0.23,0.3,4.34,0,0.78,17.89,1.52,0,0,0,0,0,0,4.52,0,0,130,403.15
 IV-1-590,W18Cr4V2MoCo5,0.9,0,0,4.5,0,1,18,2,0,0,0,0,0,0,5,0,0,210,483.15
