页数,图号,钢号,C,Si,Mn,P,S,Al,Cr,Cu,N,Ni,W,V,Ti,B,Co,Mo,O,Sn,Nb,Re,Ms/°C,Ms (K)
181,合金结构钢,50CrNi,0.5,0.4,0.7,0,0,0,0.52,0,0,0.48,0,0,0,0,0,0,0,0,0,0,300,573.15
182,合金结构钢,12CrNi2,0.11,0.3,0.5,0,0,0,0.64,0,0,1.59,0,0,0,0,0,0,0,0,0,0,405,678.15
183,合金结构钢,15CrNi2,0.15,0.3,0.55,0,0,0,0.82,0,0,1.3,0,0,0,0,0,0,0,0,0,0,385,658.15
184,合金结构钢,20CrNi2,0.19,0.3,0.55,0,0,0,0.31,0,0,1.52,0,0,0,0,0,0,0,0,0,0,375,648.15
185,合金结构钢,12CrNi3,0.11,0.13,0.33,0,0,0,0.87,0,0,3.26,0,0,0,0,0,0,0,0,0,0,420,693.15
186,合金结构钢,12CrNi3,1,0.12,0.3,0,0,0,0.9,0,0,3.27,0,0,0,0,0,0,0,0,0,0,100,373.15
187,合金结构钢,20CrNi3A,0.17,0,0,0,0,0,0.9,0,0,3.33,0,0,0,0,0,0,0,0,0,0,330,603.15
189,合金结构钢,30CrNi3,0.29,0.06,0.21,0,0,0,1.45,0,0,3.25,0,0,0,0,0,0,0,0,0,0,230,503.15
190,合金结构钢,30CrNi3,0.32,0.2,0.3,0,0,0,0.69,0,0,2.95,0,0,0,0,0,0,0,0,0,0,320,593.15
191,合金结构钢,37CrNi3A,0.35,0,0,0,0,0,1.5,0,0,3.5,0,0,0,0,0,0,0,0,0,0,295,568.15
192,合金结构钢,37CrNi3A,0.39,0,0,0,0,0,1.49,0,0,2.9,0,0,0,0,0,0,0,0,0,0,290,563.15
195,合金结构钢,12Cr2Ni2,0.13,0.31,0.51,0,0,0,1.5,0,0,1.55,0,0,0,0,0,0,0,0,0,0,440,713.15
196,合金结构钢,15Cr2Ni2,0.16,0.31,0.5,0,0,0,1.95,0,0,2.02,0,0,0,0,0,0,0,0,0,0,450,723.15
197,合金结构钢,20Cr2Ni2,0.21,0.33,0.5,0,0,0,1.99,0,0,2.08,0,0,0,0,0,0,0,0,0,0,330,603.15
198,合金结构钢,20Cr2Ni2,0.9,0.33,0.5,0,0,0,1.99,0,0,2.08,0,0,0,0,0,0,0,0,0,0,110,383.15
202,合金结构钢,12Cr2Ni4A,0.15,0.2,0.45,0,0,0,1.54,0,0,4.03,0,0,0,0,0,0.03,0,0,0,0,380,653.15
203,合金结构钢,12Cr2Ni4A,0.89,0.19,0.39,0,0,0,1.58,0,0,4,0,0,0,0,0,0,0,0,0,0,185,458.15
204,合金结构钢,20Cr2Ni4A,0.2,0.27,0.45,0,0,0,1.5,0,0,3.5,0,0,0,0,0,0,0,0,0,0,325,598.15
205,合金结构钢,20Cr2Ni4A,0.9,0.27,0.45,0,0,0,1.5,0,0,3.5,0,0,0,0,0,0,0,0,0,0,120,393.15
206,合金结构钢,35Cr2Ni4,0.36,0.32,0.53,0,0,0,1.86,0,0,3.74,0,0,0,0,0,0,0,0,0,0,265,538.15
207,合金结构钢,40Cr2Ni4,0.42,0.41,0.6,0,0,0,1.25,0,0,4.4,0,0,0,0,0,0,0,0,0,0,240,513.15
208,合金结构钢,15NiMo,0.16,0.18,0.53,0,0,0,0,0,0,1.56,0,0,0,0,0,0.25,0,0,0,0,425,698.15
209,合金结构钢,15NiMo,0.17,0.26,0.57,0,0,0,0.13,0,0,1.73,0,0,0,0,0,0.2,0,0,0,0,330,603.15
210,合金结构钢,15NiMo,0.99,0.29,0.56,0,0,0,0,0,0,1.64,0,0,0,0,0,0.29,0,0,0,0,130,403.15
211,合金结构钢,30NiMo,0.32,0.31,0.74,0,0,0,0,0,0,1.7,0,0,0,0,0,0.23,0,0,0,0,340,613.15
212,合金结构钢,40NiMo,0.36,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0.2,0,0,0,0,340,613.15
219,合金结构钢,60MnB,0.63,0.17,0.87,0.023,0.018,0,0.04,0,0,0.02,0,0,0,0.0018,0,0,0,0,0,0,280,553.15
220,合金结构钢,20Mn2B,0.21,0.25,2.04,0.01,0.023,0,0.04,0,0,0.03,0,0,0,0.0015,0,0.02,0,0,0,0,370,643.15
221,合金结构钢,20Mn2B,0.21,0,2.04,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,390,663.15
222,合金结构钢,20Mn2B,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,175,448.15
223,合金结构钢,40Mn2B,0.4,0.25,2.04,0.01,0.023,0,0.04,0,0,0.03,0,0,0,0.0015,0,0.02,0,0,0,0,347,620.15
224,合金结构钢,35Mn2V,0.35,0.28,1.65,0,0,0,0.27,0,0,0.15,0,0,0,0,0,0,0,0,0,0,320,593.15
225,合金结构钢,42Mn2V,0.43,0.28,1.67,0.027,0.008,0,0.32,0.06,0,0.11,0,0.1,0,0,0,0,0,0,0,0,310,583.15
226,合金结构钢,15CrV,0.15,0.48,0.67,0,0,0,1.2,0,0,0,0,0.31,0,0,0,0,0,0,0,0,435,708.15
227,合金结构钢,30CrV,0.32,0.21,0.4,0,0,0,1.3,0,0,0,0,0.12,0,0,0,0,0,0,0,0,355,628.15
228,合金结构钢,40CrV,0.38,0.21,0.41,0,0,0,1.29,0,0,0,0,0.12,0,0,0,0,0,0,0,0,340,613.15
229,合金结构钢,40CrV,0.43,0.23,0.74,0,0,0,0.92,0,0,0,0,0.15,0,0,0,0,0,0,0,0,218,491.15
230,合金结构钢,45CrV,0.5,0,0.95,0,0,0,1.03,0,0,0,0,0.2,0,0,0,0,0,0,0,0,280,553.15
231,合金结构钢,50CrV,0.51,0.27,0.72,0,0,0,0.94,0,0,0,0,0.2,0,0,0,0,0,0,0,0,320,593.15
232,合金结构钢,35Cr2V,0.36,0.31,0.5,0,0,0,2.2,0,0,0,0,0.28,0,0,0,0,0,0,0,0,310,583.15
233,合金结构钢,45Cr2V,0.44,0.26,0.75,0,0,0,1.7,0,0,0,0,0.09,0,0,0,0,0,0,0,0,300,573.15
234,合金结构钢,27SiMn2Mo,0.29,1.17,1.7,0,0,0,0,0,0,0.1,0,0,0,0,0,0.13,0,0,0,0,340,613.15
235,合金结构钢,15SiMn3MoA,0.157,1.1,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,290,563.15
236,合金结构钢,60SiMnMo,0.56,0.74,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,264,537.15
237,合金结构钢,20MnNiMo,0.19,0.14,1.37,0,0,0,0,0,0,0.56,0,0,0,0,0,0.31,0,0,0,0,420,693.15
238,合金结构钢,20MnNiCu,0.2,0.38,1.2,0,0,0,0,0.91,0,0.55,0,0,0,0,0,0,0,0,0,0,390,663.15
239,合金结构钢,30CrMnSi,0.28,1,1.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,365,638.15
240,合金结构钢,30CrMnSi,0.29,1.05,0.98,0,0,0,0.91,0,0,0.13,0,0,0,0,0,0,0,0,0,0,320,593.15
242,合金结构钢,45CrMnSi,0.43,1.38,0.95,0,0,0,1.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,295,568.15
243,合金结构钢,30CrSiMo,0.28,1.25,0.59,0,0,0,0.92,0,0,0,0,0,0,0,0,0.22,0,0,0,0,350,623.15
244,合金结构钢,45CrSiMo,0.45,1.31,0.55,0,0,0,0.6,0,0,0,0,0,0,0,0,0.22,0,0,0,0,315,588.15
245,合金结构钢,18CrMnNi,0.17,0.22,0.88,0,0,0,0.59,0,0,0.85,0,0,0,0,0,0,0,0,0,0,425,698.15
246,合金结构钢,18CrMnNi,0.92,0.3,0.93,0,0,0,0.57,0,0,0.9,0,0,0,0,0,0,0,0,0,0,170,443.15
247,合金结构钢,38CrMnNi,0.37,0.28,0.89,0,0,0,0.63,0,0,1.24,0,0,0,0,0,0,0,0,0,0,320,593.15
248,合金结构钢,38Cr2MnNi,0.39,0.46,0.93,0,0,0,1.32,0,0,0.7,0,0,0,0,0,0,0,0,0,0,300,573.15
250,合金结构钢,40CrMnMo,0.38,0.27,0.67,0,0,0,1.01,0,0,0.08,0,0,0,0,0,0.18,0,0,0,0,246,519.15
251,合金结构钢,40CrMnMo,0.37,0,0.77,0,0,0,0.98,0,0,0,0,0,0,0,0,0.21,0,0,0,0,246,519.15
252,合金结构钢,60CrMnMo,0.59,0.41,1.42,0,0,0,0.85,0,0,0.1,0,0,0,0,0,0.16,0,0,0,0,220,493.15
253,合金结构钢,35Cr2MnMo,0.34,0.23,1.33,0,0,0,1.93,0,0,0,0,,0,0,0,0.41,0,0,0,0,300,573.15
254,合金结构钢,20Cr2Mn2MoA,0.19,0.26,1.46,0.015,0.006,0,1.84,0,0,0,0,0,0,0,0,0.26,0,0,0,0,310,583.15
255,合金结构钢,18CrMnTi,0.2,0.27,0.95,0.03,0.03,0,1.15,0.25,0,0.2,0,0,0.09,0,0,0,0,0,0,0,365,638.15
256,合金结构钢,18CrMnTi,0.2,0,0.95,0,0,0,1.15,0,0,0,0,0,0.115,0,0,0,0,0,0,0,365,638.15
257,合金结构钢,18CrMnTi,0,0.27,0.95,0.03,0.03,0,1.15,0.25,0,0.2,0,0,0.09,0,0,0,0,0,0,0,145,418.15
259,合金结构钢,40CrMnTi,0.41,0.27,0.95,0.03,0.03,0,1.15,0,0,0.2,0,0,0.09,0,0,0,0,0,0,0,310,583.15
261,合金结构钢,30Mn2MoW,0.3,0.15,1.85,0,0,0,0,0,0,0,0.8,0,0,0,0,0.45,0,0,0,0,340,613.15
262,合金结构钢,40Mn2MoTi,0.4,0.19,1.96,0.013,0.019,0,0,0,0,0,0,0,0.17,0,0,0.48,0,0,0,0,270,543.15
263,合金结构钢,18CrNiMoA,0.185,0,0.55,0,0,0,0.5,0,0,1.6,0,0,0,0,0,0.25,0,0,0,0,360,633.15
264,合金结构钢,18CrNiMoA,0,0,0.55,0,0,0,0.5,0,0,1.6,0,0,0,0,0,0.25,0,0,0,0,110,383.15
265,合金结构钢,20CrNiMo,0.17,0.28,0,0,0,0,0.49,0,0,1.13,0,0,0,0,0,0.13,0,0,0,0,385,658.15
266,合金结构钢,20CrNiMo,1.18,0.28,0,0,0,0,0.49,0,0,1.13,0,0,0,0,0,0.13,0,0,0,0,140,413.15
267,合金结构钢,30CrNiMo,0.31,0.28,0.66,0,0,0,0.72,0,0,1.67,0,0,0,0,0,0.34,0,0,0,0,340,613.15
268,合金结构钢,30CrNiMo,0.33,0.24,0,0,0,0,0.54,0,0,1.22,0,0,0,0,0,0.17,0,0,0,0,340,613.15
269,合金结构钢,35CrNiMo,0.35,0.28,0.49,0.025,0.03,0,1.3,0,0,1.5,0,0,0,0,0,0.18,0,0,0,0,300,573.15
270,合金结构钢,35CrNiMo,0.38,0.2,0,0,0,0,0.95,0,0,1.58,0,0,0,0,0,0.26,0,0,0,0,320,593.15
271,合金结构钢,35CrNiMo,0.32,0,0,0,0,0,1.37,0,0,1.51,0,0,0,0,0,0.5,0,0,0,0,315,588.15
272,合金结构钢,40CrNi1MoA,0.38,0,0,0,0,0,1.56,0,0,1.45,0,0,0,0,0,0.24,0,0,0,0,265,538.15
273,合金结构钢,40CrNiMo,0.42,0,0,0,0,0,0.8,0,0,1.8,0,0,0,0,0,0.3,0,0,0,0,295,568.15
275,合金结构钢,28CrNi2Mo,0.29,0.25,0.54,0.025,0.033,0,1.16,0,0,1.88,0,0.06,0,0,0,0.39,0,0,0,0,337,610.15
276,合金结构钢,30CrNi2Mo,0.3,0.24,0.46,0,0,0,1.44,0.2,0,2,0,0,0,0,0,0.37,0,0,0,0,370,643.15
277,合金结构钢,35CrNi2Mo,0.37,0.26,0.59,0,0,0,0.94,0,0,2.54,0,0,0,0,0,0.12,0,0,0,0,295,568.15
278,合金结构钢,35CrNi2Mo,0.32,0.3,0.58,0,0,0,0.75,0,0,2.35,0,0,0,0,0,0.52,0,0,0,0,310,583.15
279,合金结构钢,40CrNi2Mo,0.405,0,0,0,0,0,0.8,0,0,1.825,0,0,0,0,0,0.25,0,0,0,0,300,573.15
280,合金结构钢,40CrNi2Mo,0.42,0.31,0.67,0,0,0,0.72,0,0,2.53,0,0,0,0,0,0.43,0,0,0,0,290,563.15
281,合金结构钢,12CrNi3Mo,0.11,0.26,0,0,0,0,0.68,0,0,3.02,0,0,0,0,0,0.19,0,0,0,0,385,658.15
282,合金结构钢,30CrNi3Mo,0.3,0.3,0.57,0,0,0,0.86,1,1,3.2,0,0,0,0,0,0.4,0,0,0,0,320,593.15
283,合金结构钢,30CrNi3Mo,0.31,0.28,0.5,0,0,0,1.2,0,0,3.33,0,0,0,0,0,0.5,0,0,0,0,310,583.15
284,合金结构钢,35CrNi3MoA,0.36,0,0,0,0,0,0.91,0,0,2.8,0,0,0,0,0,0.24,0,0,0,0,275,548.15
286,合金结构钢,35Cr2NiMo,0.33,0,0.51,0,0,0,2.32,0,0,0.82,0,0,0,0,0,0.36,0,0,0,0,327,600.15
287,合金结构钢,12CrNi4Mo,0.14,0.19,0,0,0,0,1.11,0,0,3.55,0,0,0,0,0,0.12,0,0,0,0,410,683.15
288,合金结构钢,35CrNi4Mo,0.85,0.24,0,0,0,0,0.84,0,0,3.95,0,0,0,0,0,0.38,0,0,0,0,270,543.15
