图号,钢号,C,Si,Mn,P,S,Al,Cr,Cu,N,Ni,W,V,Ti,B,Co,Mo,O,Sn,Nb,Ms/°C,Ms (K)
632,W3,1.32,0.5,0.28,0,0,0,0.22,0,0,0,3.51,0,0,0,0,0,0,0,0,160,433.15
633,MnSi,0.97,0.96,0.72,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,250,523.15
634,MnMo,1.18,0.028,0.75,0.011,0.029,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,130,403.15
636,MnCrWVSi,1,0.85,0.75,0,0,0,0.85,0,0,0,0.85,0.1,0,0,0,0,0,0,0,150,423.15
637,W9Cr4V2,0.9,0.3,0.3,0,0,0,4.1,0,0,0,9.25,2.3,0,0,0,0.25,0,0,0,200,473.15
639,W18Cr4V,0.72,0.39,0.27,0,0,0,4.09,0,0,0,18.59,1.25,0,0,0,0,0,0,0,190,463.15
640,W18Cr4V,0.73,0.33,0,0,0,0,4.39,0,0,0,17.8,1.09,0,0,0,0.18,0,0,0,220,493.15
641,W18Cr4V,0.81,0.23,0.17,0,0,0,4.23,0,0,0,17.6,1.08,0,0,0,0,0,0,0,220,493.15
642,W18Cr4V,0.83,0.18,0.3,0,0,0,4.4,0,0,0,18.3,1.26,0,0,0,0,0,0,0,180,453.15
643,W18Cr4VMo,0.81,0.15,0,0,0,0,3.77,0,0,0,18.25,1.07,0,0,0,0.44,0,0,0,160,433.15
645,W6Mo5Cr4V,0.83,0.25,0,0,0,0,3.89,0,0,0,5.79,1.3,0,0,0,4.3,0,0,0,180,453.15
646,W6Mo5Cr4V2,0.81,0.26,0.24,0,0,0,4.1,0,0,0,5.95,1.64,0,0,0,4.69,0,0,0,225,498.15
647,W6Mo5Cr4V2,0.83,0.3,0,0,0,0,4.15,0,0,0,6.4,1.9,0,0,0,5,0,0,0,180,453.15
648,W6Mo5Cr4V2,0.85,0,0,0,0,0,4.15,0,0,0.18,6.34,2.01,0,0,0,4.79,0,0,0,140,413.15
650,W6Mo5Cr4V5SiNbAl,1.56,1.4,0.27,0,0,0.4,4.29,0,0,0,6.21,4.98,0,0,0,5.59,0,0,0.31,160,433.15
651,W18Cr4V3SiAlNb,1.56,1.4,0.27,0.026,0.002,1.19,4.14,0,0,0,18.51,3.38,0,0,0,0,0,0,0.18,160,433.15
652,W7Mo4Cr4VCo5,1.1,0,0,0,0,0,4.25,0,0,0,6.75,2,0,0,5,3.75,0,0,0,110,383.15
